complaint_id,customer_id,channel,business_line,complaint_datetime,complaint_text,true_theme
CMP_00018,CUST_6930,Email,Cards,2025-09-18T00:00:00,Features missing in mobile app,Mobile_App
CMP_00019,CUST_1771,Email,Cards,2025-11-18T00:00:00,Mobile app keeps crashing,Mobile_App
CMP_00020,CUST_2040,Chat,Digital Banking,2025-11-02T00:00:00,Transfer took too long to complete,Transaction_Issue
CMP_00021,CUST_1188,Social Media,Retail Banking,2025-12-16T00:00:00,App is very slow after latest update,Mobile_App
CMP_00022,CUST_6573,Email,Home Loans,2025-08-11T00:00:00,Login issues despite correct credentials,Account_Access
CMP_00023,CUST_1053,Social Media,Home Loans,2025-09-14T00:00:00,Transfer took too long to complete,Transaction_Issue
CMP_00024,CUST_5889,Social Media,Cards,2025-03-20T00:00:00,Transaction failed but amount was debited,Transaction_Issue
CMP_00025,CUST_9837,Social Media,Retail Banking,2025-11-03T00:00:00,Waiting days for a resolution,Service_Delay
CMP_00026,CUST_1319,Email,Home Loans,2025-06-07T00:00:00,Service turnaround time is poor,Service_Delay
CMP_00027,CUST_4946,Social Media,Retail Banking,2025-02-13T00:00:00,Transaction failed but amount was debited,Transaction_Issue
CMP_00028,CUST_9727,Email,Cards,2025-12-04T00:00:00,Mobile app keeps crashing,Mobile_App
CMP_00029,CUST_5342,Social Media,Digital Banking,2025-04-19T00:00:00,Unable to login to banking app,Mobile_App
CMP_00030,CUST_6107,Chat,Home Loans,2025-08-13T00:00:00,Unable to reset password,Account_Access
CMP_00031,CUST_2982,Email,Cards,2025-02-02T00:00:00,2FA not working properly,Account_Access
CMP_00032,CUST_4770,Social Media,Cards,2025-01-04T00:00:00,Customer support took too long to respond,Service_Delay
CMP_00033,CUST_4750,Email,Retail Banking,2025-06-19T00:00:00,Charged unexpected fees on my account,Fees_Charges
CMP_00034,CUST_5562,Social Media,Digital Banking,2025-04-20T00:00:00,Why are there so many hidden charges?,Fees_Charges
CMP_00035,CUST_8744,Email,Digital Banking,2025-07-28T00:00:00,Unable to reset password,Account_Access
CMP_00036,CUST_2588,Social Media,Digital Banking,2025-07-01T00:00:00,Transaction failed but amount was debited,Transaction_Issue
CMP_00037,CUST_8651,Social Media,Retail Banking,2025-12-11T00:00:00,Features missing in mobile app,Mobile_App
CMP_00038,CUST_7596,Social Media,Home Loans,2025-02-25T00:00:00,Charged unexpected fees on my account,Fees_Charges
CMP_00039,CUST_4116,Social Media,Digital Banking,2025-03-13T00:00:00,Payment stuck in pending state,Transaction_Issue
CMP_00040,CUST_5563,Chat,Cards,2025-02-08T00:00:00,Unable to login to banking app,Mobile_App
CMP_00041,CUST_1828,Social Media,Retail Banking,2025-02-17T00:00:00,Mobile app keeps crashing,Mobile_App
CMP_00042,CUST_7658,Chat,Digital Banking,2025-04-20T00:00:00,Payment stuck in pending state,Transaction_Issue
CMP_00043,CUST_3697,Chat,Retail Banking,2025-07-19T00:00:00,Mobile app keeps crashing,Mobile_App
CMP_00044,CUST_5673,Chat,Digital Banking,2025-03-21T00:00:00,Service turnaround time is poor,Service_Delay
CMP_00045,CUST_4566,Email,Retail Banking,2025-06-10T00:00:00,Duplicate transaction detected,Transaction_Issue
CMP_00046,CUST_8811,Social Media,Cards,2025-01-30T00:00:00,Charged unexpected fees on my account,Fees_Charges
CMP_00047,CUST_4044,Email,Retail Banking,2025-12-12T00:00:00,Account got locked without explanation,Account_Access
CMP_00048,CUST_2964,Social Media,Cards,2025-10-24T00:00:00,Transfer took too long to complete,Transaction_Issue
CMP_00049,CUST_2343,Chat,Home Loans,2025-05-14T00:00:00,Account got locked without explanation,Account_Access
CMP_00050,CUST_4910,Chat,Digital Banking,2025-03-09T00:00:00,Duplicate transaction detected,Transaction_Issue
CMP_00051,CUST_6180,Email,Retail Banking,2025-08-23T00:00:00,Service turnaround time is poor,Service_Delay
CMP_00052,CUST_2200,Social Media,Cards,2025-09-17T00:00:00,Account got locked without explanation,Account_Access
CMP_00053,CUST_6718,Email,Cards,2025-07-09T00:00:00,Waiting days for a resolution,Service_Delay
CMP_00054,CUST_8179,Social Media,Home Loans,2025-11-10T00:00:00,Waiting days for a resolution,Service_Delay
CMP_00055,CUST_5905,Social Media,Retail Banking,2025-03-10T00:00:00,Account got locked without explanation,Account_Access
CMP_00056,CUST_2753,Social Media,Cards,2025-05-20T00:00:00,Customer support took too long to respond,Service_Delay
CMP_00057,CUST_6617,Email,Home Loans,2025-09-16T00:00:00,Waiting days for a resolution,Service_Delay
CMP_00058,CUST_1832,Email,Digital Banking,2025-05-22T00:00:00,App is very slow after latest update,Mobile_App
CMP_00059,CUST_6464,Email,Home Loans,2025-03-24T00:00:00,Charged unexpected fees on my account,Fees_Charges
CMP_00060,CUST_1158,Email,Retail Banking,2025-12-20T00:00:00,Features missing in mobile app,Mobile_App
CMP_00061,CUST_7049,Social Media,Cards,2025-08-09T00:00:00,Transaction failed but amount was debited,Transaction_Issue
CMP_00062,CUST_6050,Chat,Retail Banking,2025-07-03T00:00:00,Transaction failed but amount was debited,Transaction_Issue
CMP_00063,CUST_2684,Chat,Digital Banking,2025-11-14T00:00:00,Payment stuck in pending state,Transaction_Issue
CMP_00064,CUST_3662,Email,Digital Banking,2025-01-13T00:00:00,Payment stuck in pending state,Transaction_Issue
CMP_00065,CUST_7745,Social Media,Cards,2025-05-17T00:00:00,Duplicate transaction detected,Transaction_Issue
CMP_00066,CUST_7267,Email,Digital Banking,2025-04-24T00:00:00,Transaction failed but amount was debited,Transaction_Issue
CMP_00067,CUST_6728,Chat,Cards,2025-04-25T00:00:00,Transfer took too long to complete,Transaction_Issue
CMP_00068,CUST_7528,Chat,Home Loans,2025-02-05T00:00:00,Why are there so many hidden charges?,Fees_Charges
CMP_00069,CUST_9346,Chat,Home Loans,2025-01-15T00:00:00,Issue still not resolved after multiple follow ups,Service_Delay
CMP_00070,CUST_3925,Social Media,Home Loans,2025-01-20T00:00:00,Monthly fee was deducted without notice,Fees_Charges
CMP_00071,CUST_6663,Social Media,Home Loans,2025-08-12T00:00:00,Overdraft fees are too high,Fees_Charges
CMP_00072,CUST_7311,Social Media,Cards,2025-05-11T00:00:00,Account got locked without explanation,Account_Access
CMP_00073,CUST_1027,Social Media,Cards,2025-07-06T00:00:00,Overdraft fees are too high,Fees_Charges
CMP_00074,CUST_6409,Social Media,Home Loans,2025-12-06T00:00:00,Mobile app keeps crashing,Mobile_App
CMP_00075,CUST_9308,Chat,Digital Banking,2025-06-17T00:00:00,Monthly fee was deducted without notice,Fees_Charges
CMP_00076,CUST_3085,Email,Digital Banking,2025-12-07T00:00:00,App is very slow after latest update,Mobile_App
CMP_00077,CUST_5930,Chat,Retail Banking,2025-06-05T00:00:00,Unable to login to banking app,Mobile_App
CMP_00078,CUST_8043,Social Media,Home Loans,2025-08-27T00:00:00,Waiting days for a resolution,Service_Delay
CMP_00079,CUST_4501,Social Media,Digital Banking,2025-03-28T00:00:00,Features missing in mobile app,Mobile_App
CMP_00080,CUST_9445,Social Media,Home Loans,2025-02-17T00:00:00,Monthly fee was deducted without notice,Fees_Charges
CMP_00081,CUST_4680,Email,Cards,2025-01-13T00:00:00,Duplicate transaction detected,Transaction_Issue
CMP_00082,CUST_8784,Social Media,Retail Banking,2025-08-22T00:00:00,Why are there so many hidden charges?,Fees_Charges
CMP_00083,CUST_7291,Chat,Digital Banking,2025-05-05T00:00:00,Unable to login to banking app,Mobile_App
CMP_00084,CUST_2746,Chat,Cards,2025-04-01T00:00:00,Transaction failed but amount was debited,Transaction_Issue
CMP_00085,CUST_1822,Social Media,Cards,2025-03-04T00:00:00,2FA not working properly,Account_Access
CMP_00086,CUST_8612,Social Media,Home Loans,2025-08-15T00:00:00,Unable to login to banking app,Mobile_App
CMP_00087,CUST_9976,Chat,Cards,2025-09-01T00:00:00,2FA not working properly,Account_Access
CMP_00088,CUST_5050,Social Media,Home Loans,2025-09-24T00:00:00,App is very slow after latest update,Mobile_App
CMP_00089,CUST_5499,Chat,Retail Banking,2025-05-27T00:00:00,Unable to login to banking app,Mobile_App
CMP_00090,CUST_6502,Chat,Retail Banking,2025-03-12T00:00:00,Duplicate transaction detected,Transaction_Issue
CMP_00091,CUST_7275,Social Media,Cards,2025-12-28T00:00:00,Payment stuck in pending state,Transaction_Issue
CMP_00092,CUST_7797,Chat,Home Loans,2025-10-05T00:00:00,Transaction failed but amount was debited,Transaction_Issue
CMP_00093,CUST_2020,Email,Digital Banking,2025-07-19T00:00:00,Features missing in mobile app,Mobile_App
CMP_00094,CUST_7232,Chat,Retail Banking,2025-06-30T00:00:00,Account got locked without explanation,Account_Access
CMP_00095,CUST_7865,Social Media,Cards,2025-09-07T00:00:00,Service turnaround time is poor,Service_Delay
CMP_00096,CUST_8140,Chat,Retail Banking,2025-07-19T00:00:00,Duplicate transaction detected,Transaction_Issue
CMP_00097,CUST_3704,Chat,Cards,2025-11-15T00:00:00,Service turnaround time is poor,Service_Delay
CMP_00098,CUST_7455,Social Media,Retail Banking,2025-02-12T00:00:00,Account got locked without explanation,Account_Access
CMP_00099,CUST_8564,Email,Retail Banking,2025-05-14T00:00:00,Unable to login to banking app,Mobile_App
CMP_00100,CUST_4467,Chat,Home Loans,2025-06-22T00:00:00,App is very slow after latest update,Mobile_App
CMP_00101,CUST_7906,Chat,Retail Banking,2025-08-29T00:00:00,App is very slow after latest update,Mobile_App
CMP_00102,CUST_6733,Email,Retail Banking,2025-11-30T00:00:00,Charged unexpected fees on my account,Fees_Charges
CMP_00103,CUST_5051,Email,Retail Banking,2025-11-15T00:00:00,Charged unexpected fees on my account,Fees_Charges
CMP_00104,CUST_3068,Chat,Retail Banking,2025-10-16T00:00:00,Payment stuck in pending state,Transaction_Issue
CMP_00105,CUST_5198,Chat,Cards,2025-11-07T00:00:00,Transfer took too long to complete,Transaction_Issue
CMP_00106,CUST_3683,Chat,Retail Banking,2025-10-24T00:00:00,Account got locked without explanation,Account_Access
CMP_00107,CUST_7149,Chat,Cards,2025-02-08T00:00:00,Monthly fee was deducted without notice,Fees_Charges
CMP_00108,CUST_2669,Social Media,Home Loans,2025-12-17T00:00:00,Unable to reset password,Account_Access
CMP_00109,CUST_1672,Chat,Digital Banking,2025-12-05T00:00:00,Account got locked without explanation,Account_Access
CMP_00110,CUST_9289,Social Media,Home Loans,2025-01-07T00:00:00,Customer support took too long to respond,Service_Delay
CMP_00111,CUST_2729,Chat,Home Loans,2025-11-22T00:00:00,Features missing in mobile app,Mobile_App
CMP_00112,CUST_8135,Email,Home Loans,2025-11-12T00:00:00,Unable to login to banking app,Mobile_App
CMP_00113,CUST_8616,Chat,Home Loans,2025-06-15T00:00:00,2FA not working properly,Account_Access
CMP_00114,CUST_5569,Chat,Cards,2025-08-26T00:00:00,Transaction failed but amount was debited,Transaction_Issue
CMP_00115,CUST_6511,Email,Digital Banking,2025-06-16T00:00:00,2FA not working properly,Account_Access
CMP_00116,CUST_4475,Chat,Home Loans,2025-06-24T00:00:00,Transfer took too long to complete,Transaction_Issue
CMP_00117,CUST_1166,Social Media,Cards,2025-02-13T00:00:00,Issue still not resolved after multiple follow ups,Service_Delay
CMP_00118,CUST_9004,Social Media,Cards,2025-12-20T00:00:00,Transfer took too long to complete,Transaction_Issue
CMP_00119,CUST_8342,Email,Retail Banking,2025-05-31T00:00:00,Features missing in mobile app,Mobile_App
CMP_00120,CUST_4986,Chat,Home Loans,2025-08-31T00:00:00,Transfer took too long to complete,Transaction_Issue
CMP_00121,CUST_7971,Social Media,Home Loans,2025-06-30T00:00:00,Login issues despite correct credentials,Account_Access
CMP_00122,CUST_6023,Chat,Cards,2025-03-03T00:00:00,App is very slow after latest update,Mobile_App
CMP_00123,CUST_2958,Social Media,Cards,2025-04-09T00:00:00,Duplicate transaction detected,Transaction_Issue
CMP_00124,CUST_5530,Social Media,Home Loans,2025-02-21T00:00:00,Transfer took too long to complete,Transaction_Issue
CMP_00125,CUST_4727,Chat,Cards,2025-06-04T00:00:00,Duplicate transaction detected,Transaction_Issue
CMP_00126,CUST_5494,Email,Retail Banking,2025-10-11T00:00:00,Why are there so many hidden charges?,Fees_Charges
CMP_00127,CUST_9042,Email,Retail Banking,2025-10-21T00:00:00,Waiting days for a resolution,Service_Delay
CMP_00128,CUST_8843,Chat,Home Loans,2025-04-05T00:00:00,Service turnaround time is poor,Service_Delay
CMP_00129,CUST_8827,Email,Retail Banking,2025-07-25T00:00:00,Monthly fee was deducted without notice,Fees_Charges
CMP_00130,CUST_1878,Email,Cards,2025-10-16T00:00:00,Mobile app keeps crashing,Mobile_App
CMP_00131,CUST_5066,Email,Digital Banking,2025-11-07T00:00:00,Customer support took too long to respond,Service_Delay
CMP_00132,CUST_9561,Chat,Digital Banking,2025-08-15T00:00:00,Unable to reset password,Account_Access
CMP_00133,CUST_6003,Social Media,Retail Banking,2025-11-09T00:00:00,Service turnaround time is poor,Service_Delay
CMP_00134,CUST_4457,Chat,Retail Banking,2025-03-22T00:00:00,Why are there so many hidden charges?,Fees_Charges
CMP_00135,CUST_2229,Email,Retail Banking,2025-07-29T00:00:00,Payment stuck in pending state,Transaction_Issue
CMP_00136,CUST_5771,Email,Cards,2025-05-28T00:00:00,Features missing in mobile app,Mobile_App
CMP_00137,CUST_2166,Social Media,Cards,2025-05-16T00:00:00,Service turnaround time is poor,Service_Delay
CMP_00138,CUST_7965,Email,Cards,2025-11-28T00:00:00,Unable to reset password,Account_Access
CMP_00139,CUST_3330,Email,Retail Banking,2025-03-26T00:00:00,Duplicate transaction detected,Transaction_Issue
CMP_00140,CUST_8195,Email,Digital Banking,2025-12-19T00:00:00,Issue still not resolved after multiple follow ups,Service_Delay
CMP_00141,CUST_5460,Social Media,Digital Banking,2025-08-13T00:00:00,Service turnaround time is poor,Service_Delay
CMP_00142,CUST_8078,Social Media,Home Loans,2025-11-06T00:00:00,Charged unexpected fees on my account,Fees_Charges
CMP_00143,CUST_2496,Email,Retail Banking,2025-12-11T00:00:00,Customer support took too long to respond,Service_Delay
CMP_00144,CUST_3870,Chat,Digital Banking,2025-05-23T00:00:00,Customer support took too long to respond,Service_Delay
CMP_00145,CUST_9056,Email,Digital Banking,2025-06-28T00:00:00,Transfer took too long to complete,Transaction_Issue
CMP_00146,CUST_6260,Social Media,Retail Banking,2025-03-24T00:00:00,App is very slow after latest update,Mobile_App
CMP_00147,CUST_9117,Chat,Digital Banking,2025-10-09T00:00:00,Service turnaround time is poor,Service_Delay
CMP_00148,CUST_2442,Chat,Home Loans,2025-06-15T00:00:00,Overdraft fees are too high,Fees_Charges
CMP_00149,CUST_9431,Email,Digital Banking,2025-07-31T00:00:00,Overdraft fees are too high,Fees_Charges
CMP_00150,CUST_9494,Chat,Digital Banking,2025-11-17T00:00:00,Why are there so many hidden charges?,Fees_Charges
CMP_00151,CUST_4335,Chat,Cards,2025-05-28T00:00:00,Mobile app keeps crashing,Mobile_App
CMP_00152,CUST_2989,Email,Cards,2025-12-30T00:00:00,Features missing in mobile app,Mobile_App
CMP_00153,CUST_1224,Social Media,Digital Banking,2025-02-17T00:00:00,Duplicate transaction detected,Transaction_Issue
CMP_00154,CUST_8560,Email,Cards,2025-09-13T00:00:00,Transaction failed but amount was debited,Transaction_Issue
CMP_00155,CUST_7807,Chat,Digital Banking,2025-05-05T00:00:00,Issue still not resolved after multiple follow ups,Service_Delay
CMP_00156,CUST_7284,Email,Cards,2025-02-05T00:00:00,Unable to login to banking app,Mobile_App
CMP_00157,CUST_6568,Social Media,Home Loans,2025-01-02T00:00:00,Service turnaround time is poor,Service_Delay
CMP_00158,CUST_9022,Email,Digital Banking,2025-10-03T00:00:00,Issue still not resolved after multiple follow ups,Service_Delay
CMP_00159,CUST_6446,Social Media,Digital Banking,2025-08-22T00:00:00,App is very slow after latest update,Mobile_App
CMP_00160,CUST_4912,Social Media,Digital Banking,2025-04-30T00:00:00,Waiting days for a resolution,Service_Delay
CMP_00161,CUST_6213,Social Media,Digital Banking,2025-12-28T00:00:00,Mobile app keeps crashing,Mobile_App
CMP_00162,CUST_3492,Chat,Retail Banking,2025-03-06T00:00:00,Features missing in mobile app,Mobile_App
CMP_00163,CUST_2644,Chat,Retail Banking,2025-09-27T00:00:00,Login issues despite correct credentials,Account_Access
CMP_00164,CUST_3361,Chat,Cards,2025-02-08T00:00:00,Mobile app keeps crashing,Mobile_App
CMP_00165,CUST_6546,Social Media,Digital Banking,2025-11-29T00:00:00,App is very slow after latest update,Mobile_App
CMP_00166,CUST_9742,Chat,Home Loans,2025-11-17T00:00:00,Monthly fee was deducted without notice,Fees_Charges
CMP_00167,CUST_2121,Email,Home Loans,2025-04-27T00:00:00,Mobile app keeps crashing,Mobile_App
CMP_00168,CUST_2612,Social Media,Retail Banking,2025-08-16T00:00:00,Overdraft fees are too high,Fees_Charges
CMP_00169,CUST_1474,Email,Home Loans,2025-01-29T00:00:00,Duplicate transaction detected,Transaction_Issue
CMP_00170,CUST_7141,Chat,Cards,2025-05-06T00:00:00,Issue still not resolved after multiple follow ups,Service_Delay
CMP_00171,CUST_3950,Email,Cards,2025-02-10T00:00:00,2FA not working properly,Account_Access
CMP_00172,CUST_4945,Chat,Cards,2025-04-29T00:00:00,2FA not working properly,Account_Access
CMP_00173,CUST_8529,Chat,Retail Banking,2025-08-27T00:00:00,App is very slow after latest update,Mobile_App
CMP_00174,CUST_2210,Chat,Home Loans,2025-10-28T00:00:00,Waiting days for a resolution,Service_Delay
CMP_00175,CUST_5097,Chat,Home Loans,2025-04-12T00:00:00,Service turnaround time is poor,Service_Delay
CMP_00176,CUST_2747,Email,Digital Banking,2025-10-20T00:00:00,Features missing in mobile app,Mobile_App
CMP_00177,CUST_5837,Email,Digital Banking,2025-05-21T00:00:00,Issue still not resolved after multiple follow ups,Service_Delay
CMP_00178,CUST_9138,Chat,Cards,2025-11-07T00:00:00,Charged unexpected fees on my account,Fees_Charges
CMP_00179,CUST_4115,Social Media,Home Loans,2025-12-14T00:00:00,Waiting days for a resolution,Service_Delay
CMP_00180,CUST_1645,Chat,Digital Banking,2025-01-18T00:00:00,Transaction failed but amount was debited,Transaction_Issue
CMP_00181,CUST_3153,Email,Home Loans,2025-06-17T00:00:00,Login issues despite correct credentials,Account_Access
CMP_00182,CUST_4289,Email,Home Loans,2025-09-29T00:00:00,Unable to login to banking app,Mobile_App
CMP_00183,CUST_3695,Chat,Digital Banking,2025-06-01T00:00:00,Login issues despite correct credentials,Account_Access
CMP_00184,CUST_8673,Email,Cards,2025-04-26T00:00:00,Customer support took too long to respond,Service_Delay
CMP_00185,CUST_2479,Chat,Retail Banking,2025-05-16T00:00:00,App is very slow after latest update,Mobile_App
CMP_00186,CUST_8451,Chat,Home Loans,2025-10-27T00:00:00,Account got locked without explanation,Account_Access
CMP_00187,CUST_2775,Social Media,Cards,2025-08-30T00:00:00,App is very slow after latest update,Mobile_App
CMP_00188,CUST_4626,Social Media,Retail Banking,2025-11-22T00:00:00,Monthly fee was deducted without notice,Fees_Charges
CMP_00189,CUST_7689,Email,Cards,2025-01-24T00:00:00,App is very slow after latest update,Mobile_App
CMP_00190,CUST_9071,Email,Retail Banking,2025-05-01T00:00:00,Monthly fee was deducted without notice,Fees_Charges
CMP_00191,CUST_7367,Chat,Home Loans,2025-12-10T00:00:00,Unable to reset password,Account_Access
CMP_00192,CUST_3531,Chat,Retail Banking,2025-09-08T00:00:00,2FA not working properly,Account_Access
CMP_00193,CUST_5583,Email,Home Loans,2025-04-22T00:00:00,2FA not working properly,Account_Access
CMP_00194,CUST_4868,Chat,Retail Banking,2025-12-18T00:00:00,Features missing in mobile app,Mobile_App
CMP_00195,CUST_1992,Chat,Home Loans,2025-04-08T00:00:00,Issue still not resolved after multiple follow ups,Service_Delay
CMP_00196,CUST_2501,Social Media,Cards,2025-11-25T00:00:00,Overdraft fees are too high,Fees_Charges
CMP_00197,CUST_1828,Chat,Cards,2025-03-06T00:00:00,Account got locked without explanation,Account_Access
CMP_00198,CUST_2124,Social Media,Cards,2025-10-28T00:00:00,Unable to reset password,Account_Access
CMP_00199,CUST_6383,Email,Retail Banking,2025-05-22T00:00:00,Payment stuck in pending state,Transaction_Issue
CMP_00200,CUST_9850,Chat,Cards,2025-02-26T00:00:00,Payment stuck in pending state,Transaction_Issue
CMP_00201,CUST_1243,Chat,Cards,2025-10-29T00:00:00,Why are there so many hidden charges?,Fees_Charges
CMP_00202,CUST_3854,Chat,Retail Banking,2025-03-06T00:00:00,Customer support took too long to respond,Service_Delay
CMP_00203,CUST_2041,Chat,Digital Banking,2025-07-05T00:00:00,Mobile app keeps crashing,Mobile_App
CMP_00204,CUST_8405,Social Media,Cards,2025-11-11T00:00:00,Account got locked without explanation,Account_Access
CMP_00205,CUST_8504,Social Media,Retail Banking,2025-02-01T00:00:00,Monthly fee was deducted without notice,Fees_Charges
CMP_00206,CUST_7984,Social Media,Retail Banking,2025-09-09T00:00:00,Features missing in mobile app,Mobile_App
CMP_00207,CUST_2323,Chat,Cards,2025-02-03T00:00:00,Mobile app keeps crashing,Mobile_App
CMP_00208,CUST_9984,Social Media,Home Loans,2025-07-15T00:00:00,Duplicate transaction detected,Transaction_Issue
CMP_00209,CUST_8433,Social Media,Digital Banking,2025-02-20T00:00:00,Login issues despite correct credentials,Account_Access
CMP_00210,CUST_8046,Chat,Cards,2025-07-31T00:00:00,Why are there so many hidden charges?,Fees_Charges
CMP_00211,CUST_7532,Chat,Retail Banking,2025-06-10T00:00:00,Service turnaround time is poor,Service_Delay
CMP_00212,CUST_5176,Chat,Cards,2025-12-18T00:00:00,App is very slow after latest update,Mobile_App
CMP_00213,CUST_2494,Email,Retail Banking,2025-08-10T00:00:00,Mobile app keeps crashing,Mobile_App
CMP_00214,CUST_3131,Social Media,Retail Banking,2025-10-28T00:00:00,Monthly fee was deducted without notice,Fees_Charges
CMP_00215,CUST_3002,Chat,Home Loans,2025-12-07T00:00:00,Login issues despite correct credentials,Account_Access
CMP_00216,CUST_5712,Social Media,Home Loans,2025-06-30T00:00:00,Mobile app keeps crashing,Mobile_App
CMP_00217,CUST_3535,Social Media,Digital Banking,2025-04-25T00:00:00,Why are there so many hidden charges?,Fees_Charges
CMP_00218,CUST_7022,Email,Home Loans,2025-10-21T00:00:00,Monthly fee was deducted without notice,Fees_Charges
CMP_00219,CUST_1430,Social Media,Home Loans,2025-01-15T00:00:00,Transfer took too long to complete,Transaction_Issue
CMP_00220,CUST_6062,Chat,Home Loans,2025-01-04T00:00:00,Duplicate transaction detected,Transaction_Issue
CMP_00221,CUST_7566,Email,Cards,2025-11-21T00:00:00,Payment stuck in pending state,Transaction_Issue
CMP_00222,CUST_9691,Email,Digital Banking,2025-08-03T00:00:00,Charged unexpected fees on my account,Fees_Charges
CMP_00223,CUST_3578,Chat,Home Loans,2025-06-16T00:00:00,App is very slow after latest update,Mobile_App
CMP_00224,CUST_1861,Email,Cards,2025-11-13T00:00:00,Account got locked without explanation,Account_Access
CMP_00225,CUST_5458,Chat,Digital Banking,2025-09-06T00:00:00,Charged unexpected fees on my account,Fees_Charges
CMP_00226,CUST_7785,Chat,Cards,2025-09-20T00:00:00,2FA not working properly,Account_Access
CMP_00227,CUST_8043,Email,Home Loans,2025-12-14T00:00:00,Monthly fee was deducted without notice,Fees_Charges
CMP_00228,CUST_9633,Social Media,Home Loans,2025-01-24T00:00:00,2FA not working properly,Account_Access
CMP_00229,CUST_1897,Email,Cards,2025-06-04T00:00:00,Transfer took too long to complete,Transaction_Issue
CMP_00230,CUST_5186,Chat,Home Loans,2025-03-03T00:00:00,Payment stuck in pending state,Transaction_Issue
CMP_00231,CUST_8055,Email,Cards,2025-07-14T00:00:00,Overdraft fees are too high,Fees_Charges
CMP_00232,CUST_9196,Social Media,Home Loans,2025-02-06T00:00:00,Unable to reset password,Account_Access
CMP_00233,CUST_8147,Email,Digital Banking,2025-02-09T00:00:00,Mobile app keeps crashing,Mobile_App
CMP_00234,CUST_7626,Social Media,Digital Banking,2025-05-29T00:00:00,Service turnaround time is poor,Service_Delay
CMP_00235,CUST_1341,Chat,Cards,2025-11-13T00:00:00,Overdraft fees are too high,Fees_Charges
CMP_00236,CUST_2443,Chat,Retail Banking,2025-05-05T00:00:00,App is very slow after latest update,Mobile_App
CMP_00237,CUST_9584,Email,Digital Banking,2025-06-08T00:00:00,Features missing in mobile app,Mobile_App
CMP_00238,CUST_6456,Email,Retail Banking,2025-09-19T00:00:00,Waiting days for a resolution,Service_Delay
CMP_00239,CUST_6724,Chat,Cards,2025-05-01T00:00:00,Why are there so many hidden charges?,Fees_Charges
CMP_00240,CUST_5193,Email,Cards,2025-11-05T00:00:00,Why are there so many hidden charges?,Fees_Charges
CMP_00241,CUST_3902,Social Media,Digital Banking,2025-08-26T00:00:00,Transaction failed but amount was debited,Transaction_Issue
CMP_00242,CUST_6295,Social Media,Home Loans,2025-03-19T00:00:00,2FA not working properly,Account_Access
CMP_00243,CUST_8682,Chat,Home Loans,2025-05-21T00:00:00,Mobile app keeps crashing,Mobile_App
CMP_00244,CUST_6766,Social Media,Retail Banking,2025-06-08T00:00:00,Account got locked without explanation,Account_Access
CMP_00245,CUST_1616,Email,Home Loans,2025-05-27T00:00:00,Features missing in mobile app,Mobile_App
CMP_00246,CUST_9307,Chat,Digital Banking,2025-10-25T00:00:00,Charged unexpected fees on my account,Fees_Charges
CMP_00247,CUST_8368,Social Media,Cards,2025-06-14T00:00:00,Account got locked without explanation,Account_Access
CMP_00248,CUST_9214,Email,Retail Banking,2025-08-19T00:00:00,2FA not working properly,Account_Access
CMP_00249,CUST_2381,Social Media,Cards,2025-01-21T00:00:00,Monthly fee was deducted without notice,Fees_Charges
CMP_00250,CUST_8199,Social Media,Cards,2025-07-06T00:00:00,Transfer took too long to complete,Transaction_Issue
